word,counts,word_level
stipulation,1,5.0
stump,1,3.0
substantial,1,2.0
subtitle,1,4.0
suicidal,1,4.0
supply,1,2.0
supermodel,1,6.0
summit,1,3.0
sum,1,2.0
suitable,1,2.0
suit,1,1.0
suggestion,1,1.0
success,1,1.0
sugar,1,1.0
sue,1,3.0
therapy,1,2.0
thief,1,1.0
suck,1,3.0
successful,1,1.0
site,1,1.0
transfer,1,2.0
transit,1,3.0
until,1,1.0
saddle,1,3.0
upcoming,1,3.0
update,1,2.0
rum,1,4.0
ruin,1,3.0
row,1,2.0
rove,1,4.0
routine,1,1.0
roundabout,1,4.0
uploads,1,6.0
rotten,1,3.0
uptight,1,6.0
urine,1,3.0
romantic,1,2.0
untraceable,1,6.0
safari,1,5.0
schedule,1,1.0
unscheduled,1,6.0
scenario,1,3.0
scary,1,1.0
unique,1,2.0
scar,1,3.0
scanner,1,3.0
scandal,1,3.0
scan,1,2.0
unlikeable,1,6.0
unload,1,3.0
saturation,1,5.0
satisfy,1,2.0
sanctimonious,1,6.0
salesman,1,3.0
unprecedented,1,3.0
sale,1,1.0
romance,1,3.0
useful,1,1.0
user,1,1.0
role,1,1.0
victor,1,4.0
respond,1,1.0
resignation,1,3.0
victorian,1,4.0
require,1,2.0
reply,1,1.0
remotely,1,3.0
remote,1,2.0
reminder,1,3.0
viral,1,3.0
religious,1,2.0
virgin,1,3.0
virus,1,1.0
relay,1,3.0
vodka,1,3.0
viciousness,1,6.0
restrict,1,3.0
verdict,1,3.0
rifle,1,3.0
rock,1,1.0
utterly,1,3.0
rival,1,3.0
ripple,1,3.0
vandalised,1,6.0
vast,1,2.0
rid,1,2.0
rewind,1,5.0
revolution,1,2.0
revel,1,4.0
vanish,1,3.0
vapidity,1,6.0
scene,1,1.0
school,1,1.0
sip,1,3.0
sic,1,4.0
trick,1,2.0
trickery,1,6.0
shutdown,1,5.0
tricky,1,3.0
trip,1,1.0
triviality,1,6.0
shove,1,3.0
shout,1,1.0
shotgun,1,3.0
shortly,1,3.0
troupe,1,5.0
shopper,1,3.0
truck,1,1.0
shop,1,1.0
truly,1,2.0
shy,1,2.0
schoolkid,1,6.0
sight,1,2.0
sink,1,2.0
singular,1,3.0
translate,1,2.0
transmit,1,3.0
since,1,1.0
simulate,1,3.0
simple,1,1.0
silver,1,1.0
silly,1,2.0
silhouette,1,4.0
silent,1,2.0
travel,1,1.0
treasure,1,3.0
treat,1,2.0
trend,1,2.0
tumble,1,3.0
shirtless,1,6.0
sheet,1,1.0
shame,1,2.0
undignified,1,6.0
unemployable,1,6.0
unemployed,1,2.0
unharmed,1,5.0
uninterrupted,1,5.0
sedative,1,5.0
search,1,1.0
sea,1,1.0
scum,1,5.0
scroll,1,3.0
screamer,1,6.0
scream,1,2.0
scramble,1,3.0
science,1,1.0
schoolkids,1,6.0
underground,1,1.0
semi,1,3.0
sense,1,1.0
setting,1,2.0
sham,1,4.0
turf,1,3.0
sexy,1,3.0
twat,1,6.0
tweak,1,4.0
twitch,1,4.0
typical,1,1.0
underdone,1,6.0
ugly,1,2.0
uncanny,1,4.0
