Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
sadistic,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
slippage,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
sadist,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
pas,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
slither,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
partygoer,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
sliver,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
undiagnosed,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
undignified,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
poly,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
sluice,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
smelter,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
polypeptide,NN,0,9,science,N,N,N,N,C1,C2,0.0,True,False,12,NN,science
smidgen,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
underweight,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
smiley,NN,0,0,NN,N,N,N,N,C3,C1,0.0,True,False,12,NN,NN
parietal,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
pariah,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
smirk,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
parenthood,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
parenthetically,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
sachet,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
polypropylene,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
sac,NN,0,5,science,N,N,N,N,C1,C1,0.0,True,False,12,NN,science
